DATE,PROVINCIA_DESTINO,PROVINCIA_ORIGEN,FLUJO,POB_RESID_ORIGEN,POB_SALE_ORIGEN,POB_CASA_ORIGEN,POB_RESID_DESTINO,POB_LLEGA_DESTINO
2019/11/30,Albacete,Ciudad Real,706,495761,84802,410959,388167,93908
2019/11/30,Albacete,Valencia,250,2565124,794219,1770905,388167,93908
2019/11/30,Albacete,Cuenca,1019,196329,39668,156661,388167,93908
2019/11/30,Albacete,Jaén,251,633564,119149,514415,388167,93908
2019/11/30,Albacete,Albacete,75055,388167,98015,290152,388167,93908
2019/11/30,Albacete,Alicante,225,1858683,523005,1335678,388167,93908
2019/11/30,Albacete,Madrid,23,6663394,2445079,4218315,388167,93908
2019/11/30,Albacete,Murcia,571,1493898,368145,1125753,388167,93908
2019/11/30,Alicante,Bizkaia,18,1152934,391429,761505,1858683,514708
2019/11/30,Alicante,Murcia,3846,1493898,368145,1125753,1858683,514708
2019/11/30,Alicante,Barcelona,22,5664579,1977077,3687502,1858683,514708
2019/11/30,Alicante,Albacete,398,388167,98015,290152,1858683,514708
2019/11/30,Alicante,Rioja,25,316798,88934,227864,1858683,514708
2019/11/30,Alicante,Badajoz,28,673559,131089,542470,1858683,514708
2019/11/30,Alicante,Alicante,413413,1858683,523005,1335678,1858683,514708
2019/11/30,Alicante,Girona,95,771044,197290,573754,1858683,514708
2019/11/30,Alicante,Madrid,19,6663394,2445079,4218315,1858683,514708
2019/11/30,Alicante,Valencia,1797,2565124,794219,1770905,1858683,514708
2019/11/30,Almería,Almería,144843,716820,174628,542192,716820,172939
2019/11/30,Almería,Murcia,2484,1493898,368145,1125753,716820,172939
2019/11/30,Almería,Granada,523,914678,221853,692825,716820,172939
2019/11/30,Araba,Huelva,35,521870,113602,408268,331549,119867
2019/11/30,Araba,Murcia,65,1493898,368145,1125753,331549,119867
2019/11/30,Araba,Cáceres,48,394151,84165,309986,331549,119867
2019/11/30,Araba,Cantabria,114,580795,183030,397765,331549,119867
2019/11/30,Araba,Burgos,3568,357072,90270,266802,331549,119867
2019/11/30,Araba,Gipuzkoa,1432,723576,226911,496665,331549,119867
2019/11/30,Araba,Bizkaia,5288,1152934,391429,761505,331549,119867
2019/11/30,Araba,Rioja,3991,316798,88934,227864,331549,119867
2019/11/30,Araba,Navarra,830,654183,200438,453745,331549,119867
2019/11/30,Araba,Araba,84463,331549,105672,225877,331549,119867
2019/11/30,Asturias,Asturias,257854,1022800,305758,717042,1022800,303988
2019/11/30,Asturias,Cantabria,546,580795,183030,397765,1022800,303988
2019/11/30,Asturias,Lugo,2162,329587,77703,251884,1022800,303988
2019/11/30,Asturias,León,200,460001,136767,323234,1022800,303988
2019/11/30,Ávila,Segovia,181,153129,44473,108656,157640,34051
2019/11/30,Ávila,Toledo,318,694844,178444,516400,157640,34051
2019/11/30,Ávila,Madrid,291,6663394,2445079,4218315,157640,34051
2019/11/30,Ávila,Valladolid,190,519546,150660,368886,157640,34051
2019/11/30,Ávila,Salamanca,319,330119,92587,237532,157640,34051
2019/11/30,Ávila,Ávila,21732,157640,42201,115439,157640,34051
2019/11/30,Ávila,Cáceres,297,394151,84165,309986,157640,34051
2019/11/30,Badajoz,Ciudad Real,69,495761,84802,410959,673559,124104
2019/11/30,Badajoz,Córdoba,183,782979,175143,607836,673559,124104
2019/11/30,Badajoz,Sevilla,370,1942389,503839,1438550,673559,124104
2019/11/30,Badajoz,Cáceres,1724,394151,84165,309986,673559,124104
2019/11/30,Badajoz,Badajoz,94817,673559,131089,542470,673559,124104
2019/11/30,Badajoz,Huelva,341,521870,113602,408268,673559,124104
2019/11/30,Balears,Balears,256318,1149460,298678,850782,1149460,289056
2019/11/30,Balears,Barcelona,65,5664579,1977077,3687502,1149460,289056
2019/11/30,Balears,Cantabria,19,580795,183030,397765,1149460,289056
2019/11/30,Barcelona,Barcelona,1506209,5664579,1977077,3687502,5664579,2036370
2019/11/30,Barcelona,Balears,135,1149460,298678,850782,5664579,2036370
2019/11/30,Barcelona,Zaragoza,21,964724,311185,653539,5664579,2036370
2019/11/30,Barcelona,Alicante,16,1858683,523005,1335678,5664579,2036370
2019/11/30,Barcelona,Tarragona,5468,804664,228590,576074,5664579,2036370
2019/11/30,Barcelona,Girona,9753,771044,197290,573754,5664579,2036370
2019/11/30,Barcelona,Lleida,986,434930,123560,311370,5664579,2036370
2019/11/30,Barcelona,Valencia,17,2565124,794219,1770905,5664579,2036370
2019/11/30,Bizkaia,Cantabria,6231,580795,183030,397765,1152934,390577
2019/11/30,Bizkaia,Palencia,24,160866,48557,112309,1152934,390577
2019/11/30,Bizkaia,Bizkaia,311552,1152934,391429,761505,1152934,390577
2019/11/30,Bizkaia,Málaga,22,1661785,393804,1267981,1152934,390577
2019/11/30,Bizkaia,Burgos,1372,357072,90270,266802,1152934,390577
2019/11/30,Bizkaia,Gipuzkoa,2462,723576,226911,496665,1152934,390577
2019/11/30,Bizkaia,Rioja,91,316798,88934,227864,1152934,390577
2019/11/30,Bizkaia,Araba,3941,331549,105672,225877,1152934,390577
2019/11/30,Burgos,Araba,1912,331549,105672,225877,357072,86088
2019/11/30,Burgos,Segovia,125,153129,44473,108656,357072,86088
2019/11/30,Burgos,Bizkaia,479,1152934,391429,761505,357072,86088
2019/11/30,Burgos,Soria,224,88636,15531,73105,357072,86088
2019/11/30,Burgos,Burgos,64874,357072,90270,266802,357072,86088
2019/11/30,Burgos,Palencia,520,160866,48557,112309,357072,86088
2019/11/30,Burgos,Rioja,235,316798,88934,227864,357072,86088
2019/11/30,Burgos,Cantabria,172,580795,183030,397765,357072,86088
2019/11/30,Burgos,Valladolid,67,519546,150660,368886,357072,86088
2019/11/30,Cáceres,Ávila,317,157640,42201,115439,394151,78948
2019/11/30,Cáceres,Salamanca,450,330119,92587,237532,394151,78948
2019/11/30,Cáceres,Valencia,25,2565124,794219,1770905,394151,78948
2019/11/30,Cáceres,Badajoz,2241,673559,131089,542470,394151,78948
2019/11/30,Cáceres,Cáceres,54075,394151,84165,309986,394151,78948
2019/11/30,Cáceres,Toledo,570,694844,178444,516400,394151,78948
2019/11/30,Cádiz,Ceuta,49,84777,27047,57730,1240155,299256
2019/11/30,Cádiz,Cádiz,249451,1240155,302979,937176,1240155,299256
2019/11/30,Cádiz,Barcelona,19,5664579,1977077,3687502,1240155,299256
2019/11/30,Cádiz,Huelva,319,521870,113602,408268,1240155,299256
2019/11/30,Cádiz,Sevilla,2768,1942389,503839,1438550,1240155,299256
2019/11/30,Cádiz,Málaga,2718,1661785,393804,1267981,1240155,299256
2019/11/30,Cantabria,Burgos,111,357072,90270,266802,580795,168662
2019/11/30,Cantabria,Cantabria,139664,580795,183030,397765,580795,168662
2019/11/30,Cantabria,Palencia,107,160866,48557,112309,580795,168662
2019/11/30,Cantabria,Bizkaia,1695,1152934,391429,761505,580795,168662
2019/11/30,Cantabria,Asturias,271,1022800,305758,717042,580795,168662
2019/11/30,Castellón,Tarragona,3201,804664,228590,576074,579962,156029
2019/11/30,Castellón,Castellón,121481,579962,155822,424140,579962,156029
2019/11/30,Castellón,Teruel,185,134137,21690,112447,579962,156029
2019/11/30,Castellón,Valencia,1183,2565124,794219,1770905,579962,156029
2019/11/30,Castellón,Toledo,29,694844,178444,516400,579962,156029
2019/11/30,Ceuta,Málaga,44,1661785,393804,1267981,84777,28074
2019/11/30,Ceuta,Ceuta,25286,84777,27047,57730,84777,28074
2019/11/30,Ciudad Real,Cuenca,77,196329,39668,156661,495761,77236
2019/11/30,Ciudad Real,Jaén,65,633564,119149,514415,495761,77236
2019/11/30,Ciudad Real,Córdoba,512,782979,175143,607836,495761,77236
2019/11/30,Ciudad Real,Tarragona,26,804664,228590,576074,495761,77236
2019/11/30,Ciudad Real,Badajoz,218,673559,131089,542470,495761,77236
2019/11/30,Ciudad Real,Ciudad Real,54390,495761,84802,410959,495761,77236
2019/11/30,Ciudad Real,Toledo,1708,694844,178444,516400,495761,77236
