name,hour,day,weekday,month,year,availableSpotNumber,total,occupation
Salitre,17,14,1,11,2021,273,435,0.37
Cervantes,17,14,1,11,2021,251,409,0.39
El Palo,17,14,1,11,2021,33,127,0.74
Av. de Andalucía,17,14,1,11,2021,479,613,0.22
Camas,17,14,1,11,2021,194,350,0.45
Cruz De Humilladero,17,14,1,11,2021,94,217,0.57
Alcazaba,17,14,1,11,2021,186,378,0.51
San Juan De La Cruz,17,14,1,11,2021,310,487,0.36
Pz. de la Marina,17,14,1,11,2021,15,430,0.97
Tejón y Rodriguez,17,14,1,11,2021,87,187,0.53
Salitre,16,14,1,11,2021,264,435,0.39
Cervantes,16,14,1,11,2021,205,409,0.5
El Palo,16,14,1,11,2021,33,127,0.74
Av. de Andalucía,16,14,1,11,2021,479,613,0.22
Camas,16,14,1,11,2021,194,350,0.45
Cruz De Humilladero,16,14,1,11,2021,93,217,0.57
Alcazaba,16,14,1,11,2021,186,378,0.51
San Juan De La Cruz,16,14,1,11,2021,310,487,0.36
Pz. de la Marina,16,14,1,11,2021,0,430,1
Tejón y Rodriguez,16,14,1,11,2021,71,187,0.62
Salitre,15,14,1,11,2021,264,435,0.39
Cervantes,15,14,1,11,2021,182,409,0.56
El Palo,15,14,1,11,2021,16,127,0.87
Av. de Andalucía,15,14,1,11,2021,471,613,0.23
Camas,15,14,1,11,2021,194,350,0.45
Cruz De Humilladero,15,14,1,11,2021,93,217,0.57
Alcazaba,15,14,1,11,2021,186,378,0.51
San Juan De La Cruz,15,14,1,11,2021,311,487,0.36
Pz. de la Marina,15,14,1,11,2021,0,430,1
Tejón y Rodriguez,15,14,1,11,2021,71,187,0.62
Salitre,14,14,1,11,2021,264,435,0.39
Cervantes,14,14,1,11,2021,200,409,0.51
El Palo,14,14,1,11,2021,34,127,0.73
Av. de Andalucía,14,14,1,11,2021,472,613,0.23
Camas,14,14,1,11,2021,194,350,0.45
Cruz De Humilladero,14,14,1,11,2021,92,217,0.58
Alcazaba,14,14,1,11,2021,186,378,0.51
San Juan De La Cruz,14,14,1,11,2021,312,487,0.36
Pz. de la Marina,14,14,1,11,2021,0,430,1
Tejón y Rodriguez,14,14,1,11,2021,92,187,0.51
Salitre,13,14,1,11,2021,279,435,0.36
Cervantes,13,14,1,11,2021,248,409,0.39
El Palo,13,14,1,11,2021,63,127,0.5
Av. de Andalucía,13,14,1,11,2021,476,613,0.22
Camas,13,14,1,11,2021,194,350,0.45
Cruz De Humilladero,13,14,1,11,2021,88,217,0.59
Alcazaba,13,14,1,11,2021,186,378,0.51
San Juan De La Cruz,13,14,1,11,2021,312,487,0.36
Pz. de la Marina,13,14,1,11,2021,0,430,1
Tejón y Rodriguez,13,14,1,11,2021,117,187,0.37
Salitre,12,14,1,11,2021,282,435,0.35
Cervantes,12,14,1,11,2021,285,409,0.3
El Palo,12,14,1,11,2021,74,127,0.42
Av. de Andalucía,12,14,1,11,2021,484,613,0.21
Camas,12,14,1,11,2021,194,350,0.45
Cruz De Humilladero,12,14,1,11,2021,89,217,0.59
Alcazaba,12,14,1,11,2021,186,378,0.51
San Juan De La Cruz,12,14,1,11,2021,312,487,0.36
Pz. de la Marina,12,14,1,11,2021,190,430,0.56
Tejón y Rodriguez,12,14,1,11,2021,118,187,0.37
Salitre,11,14,1,11,2021,280,435,0.36
Cervantes,11,14,1,11,2021,314,409,0.23
El Palo,11,14,1,11,2021,79,127,0.38
