unique_checkpoint,year,month,day,weekday,hour,vehicles
b-26,2019,1,1,3,0,79
c-95,2019,1,1,3,0,124
b-109,2019,1,1,3,0,44
c-68,2019,1,1,3,0,11
b-26,2019,1,1,3,1,140
c-95,2019,1,1,3,1,58
b-109,2019,1,1,3,1,8
c-68,2019,1,1,3,1,2
b-26,2019,1,1,3,2,48
c-95,2019,1,1,3,2,90
b-109,2019,1,1,3,2,3
c-68,2019,1,1,3,2,3
b-26,2019,1,1,3,3,32
c-95,2019,1,1,3,3,33
b-109,2019,1,1,3,3,6
c-68,2019,1,1,3,3,2
b-26,2019,1,1,3,4,102
c-95,2019,1,1,3,4,47
b-109,2019,1,1,3,4,3
c-68,2019,1,1,3,4,7
b-26,2019,1,1,3,5,77
c-95,2019,1,1,3,5,51
b-109,2019,1,1,3,5,2
c-68,2019,1,1,3,5,1
b-26,2019,1,1,3,6,181
c-95,2019,1,1,3,6,101
b-109,2019,1,1,3,6,23
c-68,2019,1,1,3,6,10
b-26,2019,1,1,3,7,533
c-95,2019,1,1,3,7,210
b-109,2019,1,1,3,7,27
c-68,2019,1,1,3,7,18
b-26,2019,1,1,3,8,998
c-95,2019,1,1,3,8,384
b-109,2019,1,1,3,8,42
c-68,2019,1,1,3,8,42
b-26,2019,1,1,3,9,1374
c-95,2019,1,1,3,9,304
b-109,2019,1,1,3,9,80
c-68,2019,1,1,3,9,22
b-26,2019,1,1,3,10,1518
c-95,2019,1,1,3,10,660
b-109,2019,1,1,3,10,108
c-68,2019,1,1,3,10,75
b-26,2019,1,1,3,11,2624
c-95,2019,1,1,3,11,456
b-109,2019,1,1,3,11,308
c-68,2019,1,1,3,11,79
b-26,2019,1,1,3,12,4712
c-95,2019,1,1,3,12,898
b-109,2019,1,1,3,12,257
c-68,2019,1,1,3,12,71
b-26,2019,1,1,3,13,2729
c-95,2019,1,1,3,13,248
b-109,2019,1,1,3,13,138
c-68,2019,1,1,3,13,60
b-26,2019,1,1,3,14,2014
c-95,2019,1,1,3,14,548
b-109,2019,1,1,3,14,84
c-68,2019,1,1,3,14,64
b-26,2019,1,1,3,15,1953
c-95,2019,1,1,3,15,688
b-109,2019,1,1,3,15,91
c-68,2019,1,1,3,15,54
b-26,2019,1,1,3,16,2952
c-95,2019,1,1,3,16,626
b-109,2019,1,1,3,16,153
c-68,2019,1,1,3,16,57
b-26,2019,1,1,3,17,2047
c-95,2019,1,1,3,17,595
b-109,2019,1,1,3,17,54
c-68,2019,1,1,3,17,39
b-26,2019,1,1,3,18,2187
c-95,2019,1,1,3,18,470
b-109,2019,1,1,3,18,237
c-68,2019,1,1,3,18,9
b-26,2019,1,1,3,19,1938
c-95,2019,1,1,3,19,718
b-109,2019,1,1,3,19,364
c-68,2019,1,1,3,19,76
b-26,2019,1,1,3,20,812
c-95,2019,1,1,3,20,420
b-109,2019,1,1,3,20,218
c-68,2019,1,1,3,20,35
b-26,2019,1,1,3,21,1522
c-95,2019,1,1,3,21,423
b-109,2019,1,1,3,21,111
c-68,2019,1,1,3,21,57
b-26,2019,1,1,3,22,945
c-95,2019,1,1,3,22,271
b-109,2019,1,1,3,22,165
c-68,2019,1,1,3,22,18
b-26,2019,1,1,3,23,478
c-95,2019,1,1,3,23,172
b-109,2019,1,1,3,23,54
c-68,2019,1,1,3,23,16
b-26,2019,1,2,4,0,244
c-95,2019,1,2,4,0,85
b-109,2019,1,2,4,0,28
c-68,2019,1,2,4,0,17
b-26,2019,1,2,4,1,103
c-95,2019,1,2,4,1,96
b-109,2019,1,2,4,1,13
c-68,2019,1,2,4,1,7
b-26,2019,1,2,4,2,56
c-95,2019,1,2,4,2,63
b-109,2019,1,2,4,2,5
c-68,2019,1,2,4,2,8
b-26,2019,1,2,4,3,64
c-95,2019,1,2,4,3,61
b-109,2019,1,2,4,3,8
c-68,2019,1,2,4,3,5
b-26,2019,1,2,4,4,54
c-95,2019,1,2,4,4,34
b-109,2019,1,2,4,4,7
c-68,2019,1,2,4,4,5
b-26,2019,1,2,4,5,48
c-95,2019,1,2,4,5,32
b-109,2019,1,2,4,5,7
c-68,2019,1,2,4,5,6
b-26,2019,1,2,4,6,272
c-95,2019,1,2,4,6,38
b-109,2019,1,2,4,6,25
c-68,2019,1,2,4,6,10
b-26,2019,1,2,4,7,397
c-95,2019,1,2,4,7,219
